"","Data","Method","metric","slice","difference","Df","T","p-value"," "
"21","Mammaliaformes","Slices:DELTRAN","centroid","160:155",-0.15,42,-0.706,1," "
"22","Mammaliaformes","Slices:DELTRAN","centroid","155:150",0.54,34,1.907,1," "
"23","Mammaliaformes","Slices:DELTRAN","centroid","150:145",-0.19,30,-0.587,1," "
"24","Mammaliaformes","Slices:DELTRAN","centroid","145:140",0.16,31,0.494,1," "
"25","Mammaliaformes","Slices:DELTRAN","centroid","140:135",-0.35,36,-1.323,1," "
"26","Mammaliaformes","Slices:DELTRAN","centroid","135:130",-0.09,43,-0.431,1," "
"27","Mammaliaformes","Slices:DELTRAN","centroid","130:125",-0.14,42,-0.661,1," "
"28","Mammaliaformes","Slices:DELTRAN","centroid","125:120",0.57,33,2.051,1," "
"29","Mammaliaformes","Slices:DELTRAN","centroid","120:115",-0.03,26,-0.068,1," "
"30","Mammaliaformes","Slices:DELTRAN","centroid","115:110",0.34,24,0.76,1," "
"31","Mammaliaformes","Slices:DELTRAN","centroid","110:105",-0.14,22,-0.287,1," "
"32","Mammaliaformes","Slices:DELTRAN","centroid","105:100",-0.08,24,-0.194,1," "
"33","Mammaliaformes","Slices:DELTRAN","centroid","100:95",-0.18,29,-0.549,1," "
"34","Mammaliaformes","Slices:DELTRAN","centroid","95:90",0.08,31,0.272,1," "
"35","Mammaliaformes","Slices:DELTRAN","centroid","90:85",0,30,-0.002,1," "
